symbol,from,to
BCH_BTC,BCH,BTC
BCH_ETH,BCH,ETH
BCH_RUB,BCH,RUB
BCH_USD,BCH,USD
BTC_EUR,BTC,EUR
BTC_PLN,BTC,PLN
BTC_RUB,BTC,RUB
BTC_UAH,BTC,UAH
BTC_USD,BTC,USD
BTC_USDT,BTC,USDT
DASH_BTC,DASH,BTC
DASH_RUB,DASH,RUB
DASH_USD,DASH,USD
DOGE_BTC,DOGE,BTC
ETC_BTC,ETC,BTC
ETC_RUB,ETC,RUB
ETC_USD,ETC,USD
ETH_BTC,ETH,BTC
ETH_EUR,ETH,EUR
ETH_LTC,ETH,LTC
ETH_PLN,ETH,PLN
ETH_RUB,ETH,RUB
ETH_UAH,ETH,UAH
ETH_USD,ETH,USD
ETH_USDT,ETH,USDT
KICK_BTC,KICK,BTC
KICK_ETH,KICK,ETH
LTC_BTC,LTC,BTC
LTC_EUR,LTC,EUR
LTC_RUB,LTC,RUB
LTC_USD,LTC,USD
USDT_RUB,USDT,RUB
USDT_USD,USDT,USD
USD_RUB,USD,RUB
WAVES_BTC,WAVES,BTC
WAVES_RUB,WAVES,RUB
XMR_BTC,XMR,BTC
XMR_EUR,XMR,EUR
XMR_USD,XMR,USD
XRP_BTC,XRP,BTC
XRP_RUB,XRP,RUB
XRP_USD,XRP,USD
ZEC_BTC,ZEC,BTC
ZEC_EUR,ZEC,EUR
ZEC_RUB,ZEC,RUB
ZEC_USD,ZEC,USD
