symbol,from,to
BTC_AMP,BTC,AMP
BTC_ARDR,BTC,ARDR
BTC_BCH,BTC,BCH
BTC_BCN,BTC,BCN
BTC_BCY,BTC,BCY
BTC_BELA,BTC,BELA
BTC_BLK,BTC,BLK
BTC_BTCD,BTC,BTCD
BTC_BTM,BTC,BTM
BTC_BTS,BTC,BTS
BTC_BURST,BTC,BURST
BTC_CLAM,BTC,CLAM
BTC_CVC,BTC,CVC
BTC_DASH,BTC,DASH
BTC_DCR,BTC,DCR
BTC_DGB,BTC,DGB
BTC_DOGE,BTC,DOGE
BTC_EMC2,BTC,EMC2
BTC_ETC,BTC,ETC
BTC_ETH,BTC,ETH
BTC_EXP,BTC,EXP
BTC_FCT,BTC,FCT
BTC_FLDC,BTC,FLDC
BTC_FLO,BTC,FLO
BTC_GAME,BTC,GAME
BTC_GAS,BTC,GAS
BTC_GNO,BTC,GNO
BTC_GNT,BTC,GNT
BTC_GRC,BTC,GRC
BTC_HUC,BTC,HUC
BTC_LBC,BTC,LBC
BTC_LSK,BTC,LSK
BTC_LTC,BTC,LTC
BTC_MAID,BTC,MAID
BTC_NAV,BTC,NAV
BTC_NEOS,BTC,NEOS
BTC_NMC,BTC,NMC
BTC_NXC,BTC,NXC
BTC_NXT,BTC,NXT
BTC_OMG,BTC,OMG
BTC_OMNI,BTC,OMNI
BTC_PASC,BTC,PASC
BTC_PINK,BTC,PINK
BTC_POT,BTC,POT
BTC_PPC,BTC,PPC
BTC_RADS,BTC,RADS
BTC_REP,BTC,REP
BTC_RIC,BTC,RIC
BTC_SBD,BTC,SBD
BTC_SC,BTC,SC
BTC_STEEM,BTC,STEEM
BTC_STORJ,BTC,STORJ
BTC_STR,BTC,STR
BTC_STRAT,BTC,STRAT
BTC_SYS,BTC,SYS
BTC_VIA,BTC,VIA
BTC_VRC,BTC,VRC
BTC_VTC,BTC,VTC
BTC_XBC,BTC,XBC
BTC_XCP,BTC,XCP
BTC_XEM,BTC,XEM
BTC_XMR,BTC,XMR
BTC_XPM,BTC,XPM
BTC_XRP,BTC,XRP
BTC_XVC,BTC,XVC
BTC_ZEC,BTC,ZEC
BTC_ZRX,BTC,ZRX
ETH_BCH,ETH,BCH
ETH_CVC,ETH,CVC
ETH_ETC,ETH,ETC
ETH_GAS,ETH,GAS
ETH_GNO,ETH,GNO
ETH_GNT,ETH,GNT
ETH_LSK,ETH,LSK
ETH_OMG,ETH,OMG
ETH_REP,ETH,REP
ETH_STEEM,ETH,STEEM
ETH_ZEC,ETH,ZEC
ETH_ZRX,ETH,ZRX
USDT_BCH,USDT,BCH
USDT_BTC,USDT,BTC
USDT_DASH,USDT,DASH
USDT_ETC,USDT,ETC
USDT_ETH,USDT,ETH
USDT_LTC,USDT,LTC
USDT_NXT,USDT,NXT
USDT_REP,USDT,REP
USDT_STR,USDT,STR
USDT_XMR,USDT,XMR
USDT_XRP,USDT,XRP
USDT_ZEC,USDT,ZEC
XMR_BCN,XMR,BCN
XMR_BLK,XMR,BLK
XMR_BTCD,XMR,BTCD
XMR_DASH,XMR,DASH
XMR_LTC,XMR,LTC
XMR_MAID,XMR,MAID
XMR_NXT,XMR,NXT
XMR_ZEC,XMR,ZEC
