symbol,from,to
123456,123,456
ADABTC,ADA,BTC
ADAETH,ADA,ETH
ADXBNB,ADX,BNB
ADXBTC,ADX,BTC
ADXETH,ADX,ETH
AEBNB,AE,BNB
AEBTC,AE,BTC
AEETH,AE,ETH
AIONBNB,AION,BNB
AIONBTC,AION,BTC
AIONETH,AION,ETH
AMBBNB,AMB,BNB
AMBBTC,AMB,BTC
AMBETH,AMB,ETH
APPCBNB,APPC,BNB
APPCBTC,APPC,BTC
APPCETH,APPC,ETH
ARKBTC,ARK,BTC
ARKETH,ARK,ETH
ARNBTC,ARN,BTC
ARNETH,ARN,ETH
ASTBTC,AST,BTC
ASTETH,AST,ETH
BATBNB,BAT,BNB
BATBTC,BAT,BTC
BATETH,BAT,ETH
BCCBNB,BCC,BNB
BCCBTC,BCC,BTC
BCCETH,BCC,ETH
BCCUSDT,BCC,USDT
BCDBTC,BCD,BTC
BCDETH,BCD,ETH
BCPTBNB,BCPT,BNB
BCPTBTC,BCPT,BTC
BCPTETH,BCPT,ETH
BLZBNB,BLZ,BNB
BLZBTC,BLZ,BTC
BLZETH,BLZ,ETH
BNBBTC,BNB,BTC
BNBETH,BNB,ETH
BNBUSDT,BNB,USDT
BNTBTC,BNT,BTC
BNTETH,BNT,ETH
BQXBTC,BQX,BTC
BQXETH,BQX,ETH
BRDBNB,BRD,BNB
BRDBTC,BRD,BTC
BRDETH,BRD,ETH
BTCUSDT,BTC,USDT
BTGBTC,BTG,BTC
BTGETH,BTG,ETH
BTSBNB,BTS,BNB
BTSBTC,BTS,BTC
BTSETH,BTS,ETH
CDTBTC,CDT,BTC
CDTETH,CDT,ETH
CHATBTC,CHAT,BTC
CHATETH,CHAT,ETH
CMTBNB,CMT,BNB
CMTBTC,CMT,BTC
CMTETH,CMT,ETH
CNDBNB,CND,BNB
CNDBTC,CND,BTC
CNDETH,CND,ETH
CTRBTC,CTR,BTC
CTRETH,CTR,ETH
DASHBTC,DASH,BTC
DASHETH,DASH,ETH
DGDBTC,DGD,BTC
DGDETH,DGD,ETH
DLTBNB,DLT,BNB
DLTBTC,DLT,BTC
DLTETH,DLT,ETH
DNTBTC,DNT,BTC
DNTETH,DNT,ETH
EDOBTC,EDO,BTC
EDOETH,EDO,ETH
ELFBTC,ELF,BTC
ELFETH,ELF,ETH
ENGBTC,ENG,BTC
ENGETH,ENG,ETH
ENJBTC,ENJ,BTC
ENJETH,ENJ,ETH
EOSBTC,EOS,BTC
EOSETH,EOS,ETH
ETCBTC,ETC,BTC
ETCETH,ETC,ETH
ETHBTC,ETH,BTC
ETHUSDT,ETH,USDT
EVXBTC,EVX,BTC
EVXETH,EVX,ETH
FUELBTC,FUEL,BTC
FUELETH,FUEL,ETH
FUNBTC,FUN,BTC
FUNETH,FUN,ETH
GASBTC,GAS,BTC
GRSBTC,GRS,BTC
GRSETH,GRS,ETH
GTOBNB,GTO,BNB
GTOBTC,GTO,BTC
GTOETH,GTO,ETH
GVTBTC,GVT,BTC
GVTETH,GVT,ETH
GXSBTC,GXS,BTC
GXSETH,GXS,ETH
HSRBTC,HSR,BTC
HSRETH,HSR,ETH
ICNBTC,ICN,BTC
ICNETH,ICN,ETH
ICXBNB,ICX,BNB
ICXBTC,ICX,BTC
ICXETH,ICX,ETH
INSBTC,INS,BTC
INSETH,INS,ETH
IOSTBTC,IOST,BTC
IOSTETH,IOST,ETH
IOTABNB,IOTA,BNB
IOTABTC,IOTA,BTC
IOTAETH,IOTA,ETH
KMDBTC,KMD,BTC
KMDETH,KMD,ETH
KNCBTC,KNC,BTC
