symbol,from,to
BTC-2GIVE,BTC,2GIVE
BTC-ABY,BTC,ABY
BTC-ADA,BTC,ADA
BTC-ADT,BTC,ADT
BTC-ADX,BTC,ADX
BTC-AEON,BTC,AEON
BTC-AMP,BTC,AMP
BTC-ANT,BTC,ANT
BTC-ARDR,BTC,ARDR
BTC-ARK,BTC,ARK
BTC-AUR,BTC,AUR
BTC-BAT,BTC,BAT
BTC-BAY,BTC,BAY
BTC-BCC,BTC,BCC
BTC-BCPT,BTC,BCPT
BTC-BCY,BTC,BCY
BTC-BITB,BTC,BITB
BTC-BLITZ,BTC,BLITZ
BTC-BLK,BTC,BLK
BTC-BLOCK,BTC,BLOCK
BTC-BNT,BTC,BNT
BTC-BRK,BTC,BRK
BTC-BRX,BTC,BRX
BTC-BSD,BTC,BSD
BTC-BTG,BTC,BTG
BTC-BURST,BTC,BURST
BTC-BYC,BTC,BYC
BTC-CANN,BTC,CANN
BTC-CFI,BTC,CFI
BTC-CLAM,BTC,CLAM
BTC-CLOAK,BTC,CLOAK
BTC-COVAL,BTC,COVAL
BTC-CRB,BTC,CRB
BTC-CRW,BTC,CRW
BTC-CURE,BTC,CURE
BTC-CVC,BTC,CVC
BTC-DASH,BTC,DASH
BTC-DCR,BTC,DCR
BTC-DCT,BTC,DCT
BTC-DGB,BTC,DGB
BTC-DMD,BTC,DMD
BTC-DMT,BTC,DMT
BTC-DNT,BTC,DNT
BTC-DOGE,BTC,DOGE
BTC-DOPE,BTC,DOPE
BTC-DTB,BTC,DTB
BTC-DYN,BTC,DYN
BTC-EBST,BTC,EBST
BTC-EDG,BTC,EDG
BTC-EFL,BTC,EFL
BTC-EGC,BTC,EGC
BTC-EMC,BTC,EMC
BTC-EMC2,BTC,EMC2
BTC-ENG,BTC,ENG
BTC-ENRG,BTC,ENRG
BTC-ERC,BTC,ERC
BTC-ETC,BTC,ETC
BTC-ETH,BTC,ETH
BTC-EXCL,BTC,EXCL
BTC-EXP,BTC,EXP
BTC-FCT,BTC,FCT
BTC-FLDC,BTC,FLDC
BTC-FLO,BTC,FLO
BTC-FTC,BTC,FTC
BTC-GAM,BTC,GAM
BTC-GAME,BTC,GAME
BTC-GBG,BTC,GBG
BTC-GBYTE,BTC,GBYTE
BTC-GEO,BTC,GEO
BTC-GLD,BTC,GLD
BTC-GNO,BTC,GNO
BTC-GNT,BTC,GNT
BTC-GOLOS,BTC,GOLOS
BTC-GRC,BTC,GRC
BTC-GRS,BTC,GRS
BTC-GUP,BTC,GUP
BTC-HMQ,BTC,HMQ
BTC-IGNIS,BTC,IGNIS
BTC-INCNT,BTC,INCNT
BTC-IOC,BTC,IOC
BTC-ION,BTC,ION
BTC-IOP,BTC,IOP
BTC-KMD,BTC,KMD
