symbol,from,to
BCH/BTC,BCH,BTC
BCH/EUR,BCH,EUR
BCH/GBP,BCH,GBP
BCH/USD,BCH,USD
BTC/EUR,BTC,EUR
BTC/GBP,BTC,GBP
BTC/RUB,BTC,RUB
BTC/USD,BTC,USD
BTG/BTC,BTG,BTC
BTG/EUR,BTG,EUR
BTG/USD,BTG,USD
DASH/BTC,DASH,BTC
DASH/EUR,DASH,EUR
DASH/GBP,DASH,GBP
DASH/USD,DASH,USD
ETH/BTC,ETH,BTC
ETH/EUR,ETH,EUR
ETH/GBP,ETH,GBP
ETH/USD,ETH,USD
GHS/BTC,GHS,BTC
XLM/BTC,XLM,BTC
XLM/EUR,XLM,EUR
XLM/USD,XLM,USD
XRP/BTC,XRP,BTC
XRP/EUR,XRP,EUR
XRP/USD,XRP,USD
ZEC/BTC,ZEC,BTC
ZEC/EUR,ZEC,EUR
ZEC/GBP,ZEC,GBP
ZEC/USD,ZEC,USD
