symbol,from,to
BCHEUR,BCH,EUR
BCHUSD,BCH,USD
BCHXBT,BCH,BTC
DASHEUR,DASH,EUR
DASHUSD,DASH,USD
DASHXBT,DASH,BTC
EOSETH,EOS,ETH
EOSEUR,EOS,EUR
EOSUSD,EOS,USD
EOSXBT,EOS,BTC
GNOETH,GNO,ETH
GNOEUR,GNO,EUR
GNOUSD,GNO,USD
GNOXBT,GNO,BTC
USDTZUSD,USDT,USD
XETCXETH,ETC,ETH
XETCXXBT,ETC,BTC
XETCZEUR,ETC,EUR
XETCZUSD,ETC,USD
XETHXXBT,ETH,BTC
XETHZCAD,ETH,CAD
XETHZEUR,ETH,EUR
XETHZGBP,ETH,GBP
XETHZJPY,ETH,JPY
XETHZUSD,ETH,USD
XICNXETH,ICN,ETH
XICNXXBT,ICN,BTC
XLTCXXBT,LTC,BTC
XLTCZEUR,LTC,EUR
XLTCZUSD,LTC,USD
XMLNXETH,MLN,ETH
XMLNXXBT,MLN,BTC
XREPXETH,REP,ETH
XREPXXBT,REP,BTC
XREPZEUR,REP,EUR
XREPZUSD,REP,USD
XXBTZCAD,BTC,CAD
XXBTZEUR,BTC,EUR
XXBTZGBP,BTC,GBP
XXBTZJPY,BTC,JPY
XXBTZUSD,BTC,USD
XXDGXXBT,XDG,BTC
XXLMXXBT,XLM,BTC
XXLMZEUR,XLM,EUR
XXLMZUSD,XLM,USD
XXMRXXBT,XMR,BTC
XXMRZEUR,XMR,EUR
XXMRZUSD,XMR,USD
XXRPXXBT,XRP,BTC
XXRPZCAD,XRP,CAD
XXRPZEUR,XRP,EUR
XXRPZJPY,XRP,JPY
XXRPZUSD,XRP,USD
XZECXXBT,ZEC,BTC
XZECZEUR,ZEC,EUR
XZECZJPY,ZEC,JPY
XZECZUSD,ZEC,USD
