symbol,from,to
ACAT-BTC,ACAT,BTC
ACAT-ETH,ACAT,ETH
ACT-BTC,ACT,BTC
ACT-ETH,ACT,ETH
ADB-BTC,ADB,BTC
ADB-ETH,ADB,ETH
AGI-ETH,AGI,ETH
AGI-BTC,AGI,BTC
AION-BTC,AION,BTC
AION-ETH,AION,ETH
AIX-BTC,AIX,BTC
AIX-ETH,AIX,ETH
AMB-BTC,AMB,BTC
AMB-ETH,AMB,ETH
ARN-BTC,ARN,BTC
ARN-ETH,ARN,ETH
ARY-BTC,ARY,BTC
ARY-ETH,ARY,ETH
AXP-BTC,AXP,BTC
AXP-ETH,AXP,ETH
BCD-BTC,BCD,BTC
BCD-ETH,BCD,ETH
BCH-USDT,BCH,USDT
BCH-BTC,BCH,BTC
BCH-ETH,BCH,ETH
BCH-KCS,BCH,KCS
BCPT-BTC,BCPT,BTC
BCPT-ETH,BCPT,ETH
BHC-BTC,BHC,BTC
BNTY-BTC,BNTY,BTC
BNTY-ETH,BNTY,ETH
BOS-BTC,BOS,BTC
BOS-ETH,BOS,ETH
BPT-BTC,BPT,BTC
BPT-ETH,BPT,ETH
BTC-USDT,BTC,USDT
BTG-BTC,BTG,BTC
BTG-ETH,BTG,ETH
BTM-BTC,BTM,BTC
BTM-ETH,BTM,ETH
CAG-BTC,CAG,BTC
CAG-ETH,CAG,ETH
CAN-BTC,CAN,BTC
CAN-ETH,CAN,ETH
CAPP-BTC,CAPP,BTC
CAPP-ETH,CAPP,ETH
CAT-BTC,CAT,BTC
CAT-ETH,CAT,ETH
CFD-ETH,CFD,ETH
CHSB-BTC,CHSB,BTC
CHSB-ETH,CHSB,ETH
COFI-BTC,COFI,BTC
COFI-ETH,COFI,ETH
COV-BTC,COV,BTC
COV-ETH,COV,ETH
CS-BTC,CS,BTC
CS-ETH,CS,ETH
CS-USDT,CS,USDT
CV-BTC,CV,BTC
CV-ETH,CV,ETH
CVC-BTC,CVC,BTC
CVC-ETH,CVC,ETH
CXO-BTC,CXO,BTC
CXO-ETH,CXO,ETH
DADI-BTC,DADI,BTC
DADI-ETH,DADI,ETH
DASH-BTC,DASH,BTC
DASH-ETH,DASH,ETH
DAT-BTC,DAT,BTC
DAT-ETH,DAT,ETH
DBC-BTC,DBC,BTC
DBC-ETH,DBC,ETH
DBC-NEO,DBC,NEO
DEB-BTC,DEB,BTC
DEB-ETH,DEB,ETH
DENT-BTC,DENT,BTC
DENT-ETH,DENT,ETH
DGB-BTC,DGB,BTC
DGB-ETH,DGB,ETH
DNA-BTC,DNA,BTC
DNA-ETH,DNA,ETH
DRGN-BTC,DRGN,BTC
DRGN-ETH,DRGN,ETH
DRGN-NEO,DRGN,NEO
DRGN-USDT,DRGN,USDT
DTA-BTC,DTA,BTC
DTA-ETH,DTA,ETH
