time,bid,ask
1526127509963,8575,8576.8
1526127513971,8576.7,8576.8
1526127517663,8573.3,8574.7
1526127585018,8563.8,8563.9
1526127588081,8564,8564.1
1526127592227,8564,8564.1
1526127595440,8564,8564.1
1526127599632,8564,8564.1
1526127603123,8564,8564.1
1526127606681,8564,8564.1
1526127610647,8564,8564.1
1526127614044,8564,8564.1
1526127616907,8564,8564.1
1526127621836,8564,8564.1
1526127692331,8559.7,8559.8
1526127695481,8559.8,8560.2
1526127699796,8558.8,8560.2
1526127703048,8559.6,8559.7
1526127707323,8559.6,8559.7
1526127710593,8559.6,8559.7
1526127712618,8559.6,8559.7
1526127717872,8559.6,8559.7
1526127721808,8559.6,8559.7
1526127725830,8559.6,8559.7
1526127795206,8573.2,8573.6
1526127799501,8573.3,8573.7
1526127803562,8573.8,8574
1526127806525,8573.8,8574
1526127810587,8573.9,8574
1526127812527,8573.9,8574
1526127818732,8576.9,8577
1526127821770,8576.9,8577
1526127826086,8576.9,8577
1526127862930,8576.9,8577
1526127892374,8577.9,8578
1526127897019,8577.6,8577.9
1526127899887,8577.6,8577.7
1526127902995,8577.6,8577.7
1526127908089,8577.6,8577.7
1526127909947,8577.6,8577.7
1526127914817,8577.6,8577.7
1526127918948,8577.6,8577.7
1526127922929,8577.6,8577.7
1526127925116,8577.6,8577.7
1526127929178,8577.6,8577.7
1526127997859,8577.6,8577.7
1526128002441,8577.6,8577.7
1526128005374,8577.6,8577.7
1526128009427,8577.6,8577.7
1526128013325,8577.6,8577.7
1526128016677,8577.6,8577.7
1526128020253,8577.6,8577.7
1526128024379,8577.6,8577.7
1526128027457,8577.6,8577.7
1526128031694,8577.6,8577.7
1526128098841,8577.6,8577.7
1526128102129,8577.6,8577.7
1526128105878,8575.8,8575.9
1526128109244,8575.1,8575.8
1526128109244,8575.1,8575.8
1526128117051,8575.1,8575.2
1526128120346,8575,8575.1
1526128124461,8571.7,8571.8
1526128127218,8571.7,8573.2
1526128131225,8571.2,8571.8
1526128201863,8570,8570.1
1526128205985,8570,8570.1
1526128208946,8568.8,8568.9
1526128212992,8568.8,8568.9
1526128216334,8565,8565.1
1526128220753,8560.5,8561.9
1526128223908,8560.2,8560.3
1526128228415,8560.2,8560.3
1526128231515,8555.9,8556.8
1526128301470,8558.1,8558.2
1526128304440,8558.1,8558.2
1526128308329,8558,8558.1
1526128312559,8558,8558.1
1526128315419,8558.1,8558.2
1526128319254,8558.1,8558.2
1526128323501,8558.1,8558.2
1526128324539,8558.1,8558.2
1526128330693,8558.1,8558.2
