time,bid,ask
1526127509963,8586.00,8588.50
1526127513971,8586.00,8588.50
1526127517663,8586.00,8588.50
1526127521420,8585.18,8588.50
1526127525253,8581.47,8595.91
1526127529598,8579.97,8591.21
1526127533334,8579.97,8591.21
1526127536606,8579.97,8588.42
1526127540614,8579.98,8595.78
1526127544363,8579.98,8595.78
1526127547367,8579.98,8589.65
1526127551441,8575.48,8589.64
1526127554658,8575.83,8589.64
1526127557904,8575.83,8589.64
1526127562529,8575.91,8587.91
1526127566617,8576.24,8587.89
1526127569800,8577.60,8587.87
1526127573116,8577.60,8587.87
1526127574978,8578.29,8587.86
1526127579925,8578.29,8587.86
1526127585018,8579.17,8586.72
1526127588081,8579.31,8586.72
1526127592227,8579.43,8586.37
1526127595440,8579.43,8586.37
1526127599632,8579.45,8586.73
1526127603123,8579.60,8586.37
1526127606681,8580.12,8586.72
1526127610647,8580.14,8586.73
1526127614044,8580.14,8586.73
1526127616907,8580.16,8585.88
1526127621836,8580.16,8585.88
1526127625378,8580.16,8585.88
1526127629165,8574.55,8578.05
1526127632749,8570.83,8576.64
1526127635717,8570.83,8576.64
1526127639797,8575.43,8576.62
1526127643432,8575.43,8576.62
1526127647584,8575.43,8576.62
1526127651701,8571.90,8578.36
1526127655024,8571.94,8578.36
1526127658186,8571.94,8578.36
1526127662494,8572.37,8578.34
1526127665604,8572.37,8578.34
1526127669972,8570.20,8571.26
1526127673024,8570.20,8571.26
1526127677268,8570.20,8571.25
1526127681420,8563.59,8570.07
1526127683417,8563.59,8570.07
1526127687985,8563.60,8569.73
1526127692331,8563.60,8569.72
1526127695481,8564.35,8576.20
1526127699796,8565.47,8573.99
1526127703048,8565.47,8573.99
1526127707323,8567.74,8575.99
1526127710593,8567.82,8575.73
1526127712618,8567.82,8575.73
1526127717872,8567.05,8574.30
1526127721808,8569.01,8573.42
1526127725830,8569.01,8573.42
1526127729504,8569.02,8574.09
1526127732631,8569.04,8575.99
1526127735868,8569.04,8575.99
1526127739603,8575.41,8575.98
1526127743997,8575.41,8575.99
1526127747745,8575.41,8575.99
1526127751019,8575.62,8585.99
1526127754867,8575.82,8579.87
1526127758931,8586.73,8586.99
1526127761750,8586.73,8586.99
1526127766247,8581.32,8592.09
1526127769136,8581.43,8592.23
