time,bid,ask
1526127509963,8753.2,8766.1
1526127513971,8753.2,8766.1
1526127517663,8736.4,8766.0
1526127521420,8736.4,8765.2
1526127525253,8736.4,8764.4
1526127529598,8737.0,8763.5
1526127533334,8738.2,8762.6
1526127536606,8739.3,8762.0
1526127540614,8740.3,8761.1
1526127544363,8741.2,8760.5
1526127547367,8741.7,8760.2
1526127551441,8742.3,8759.9
1526127554658,8743.0,8759.7
1526127557904,8743.4,8759.2
1526127562529,8744.0,8759.2
1526127566617,8744.7,8759.1
1526127569800,8747.2,8759.1
1526127573116,8747.2,8759.1
1526127574978,8747.2,8759.1
1526127579925,8747.6,8765.1
1526127585018,8748.2,8765.0
1526127588081,8748.5,8765.0
1526127592227,8749.1,8764.9
1526127595440,8734.4,8764.8
1526127599632,8735.3,8764.8
1526127603123,8735.8,8764.8
1526127606681,8736.4,8764.6
1526127610647,8737.0,8764.6
1526127614044,8737.3,8764.6
1526127616907,8737.7,8764.5
1526127621836,8738.6,8764.3
1526127625378,8738.9,8764.4
1526127629165,8739.5,8763.7
1526127632749,8739.6,8763.3
1526127635717,8739.6,8763.3
1526127639797,8739.6,8762.5
1526127643432,8731.1,8761.7
1526127647584,8731.1,8761.2
1526127651701,8730.9,8760.6
1526127655024,8723.9,8759.5
1526127658186,8724.5,8759.0
1526127662494,8725.3,8755.0
1526127665604,8725.9,8754.3
1526127669972,8726.8,8752.8
1526127673024,8726.5,8752.5
1526127677268,8726.3,8751.5
1526127681420,8726.5,8751.0
1526127683417,8726.5,8751.0
1526127687985,8726.5,8751.0
1526127692331,8721.2,8751.0
1526127695481,8722.1,8750.8
1526127699796,8723.0,8750.8
1526127703048,8723.6,8750.8
1526127707323,8724.7,8750.6
1526127710593,8725.3,8750.6
1526127712618,8725.8,8750.6
1526127717872,8726.9,8749.9
1526127721808,8727.5,8749.9
1526127725830,8727.4,8749.9
1526127729504,8727.1,8749.9
1526127732631,8727.1,8749.8
1526127735868,8727.1,8749.8
1526127739603,8727.1,8749.8
1526127743997,8727.1,8749.8
1526127747745,8727.5,8749.8
1526127751019,8728.3,8749.8
1526127754867,8728.9,8749.9
1526127758931,8729.7,8749.8
1526127761750,8730.3,8749.8
1526127766247,8731.1,8749.8
1526127769136,8731.7,8749.4
1526127773043,8732.5,8748.8
1526127776872,8732.8,8748.3
1526127780967,8733.6,8747.3
1526127784117,8727.6,8746.1
1526127788183,8728.4,8745.0
1526127791942,8729.0,8744.5
1526127795206,8729.3,8744.0
1526127799501,8727.5,8744.3
1526127803562,8727.6,8747.5
1526127806525,8728.2,8744.8
1526127810587,8727.7,8746.8
1526127812527,8728.1,8744.9
1526127818732,8729.4,8745.3
1526127821770,8728.9,8742.9
1526127826086,8728.7,8746.9
1526127830159,8729.1,8746.6
1526127833065,8729.0,8745.7
