time,bid,ask
1526127509963,8770,8779
1526127513971,8770,8779
1526127517663,8770,8779
1526127521420,8770,8779
1526127525253,8770,8779
1526127529598,8770,8779
1526127533334,8762.49999999,8779
1526127536606,8762.49999999,8779
1526127540614,8762.49999999,8779
1526127544363,8762.49999999,8770.74999999
1526127547367,8762.49999999,8770.74999999
1526127551441,8762.49999999,8770.74999999
1526127554658,8762.49999999,8770.74999999
1526127557904,8762.49999999,8770.74999999
1526127562529,8762.49999999,8770.74999999
1526127566617,8762.49999999,8770.74999999
1526127569800,8762.49999999,8770.74999999
1526127573116,8762.49999999,8770.74999999
1526127574978,8762.49999999,8770.74999999
1526127579925,8762.49999999,8770.74999999
1526127585018,8762.49999999,8770.74999999
1526127588081,8762.49999999,8784.82
1526127592227,8762.49999999,8784.93
1526127595440,8762.49999999,8784.83
1526127599632,8762.49999999,8785.04
1526127603123,8762.49999999,8785.14
1526127606681,8762.49999999,8785.14
1526127610647,8762.49999999,8785.14
1526127614044,8762.49999999,8785.14
1526127616907,8762.49999999,8785.14
1526127621836,8762.49999999,8785.14
1526127625378,8762.49999999,8785.14
1526127629165,8762.49999999,8785.14
1526127632749,8762.49999999,8785.0960743
1526127635717,8762.49999999,8785.0960742
1526127639797,8762.49999999,8785.09
1526127643432,8762.49999999,8784.95214922
1526127647584,8762.49999999,8784.952149
1526127651701,8762.49999999,8784.852149
1526127655024,8762.49999999,8784.94
1526127658186,8762.49999999,8784.93999999
1526127662494,8762.49999999,8784.84
1526127665604,8762.49999999,8784.73
1526127669972,8762.49999999,8784.73999999
1526127673024,8762.49999999,8784.68999999
1526127677268,8762.49999999,8784.68999999
1526127681420,8762.49999999,8784.63
1526127683417,8762.49999999,8784.63999999
1526127687985,8762.49999999,8784.68
1526127692331,8762.49999999,8784.5360766
1526127695481,8762.49999999,8784.48
1526127699796,8762.49999999,8784.48
1526127703048,8762.49999999,8784.47
1526127707323,8762.49999999,8784.67
1526127710593,8762.49999999,8784.66999999
1526127712618,8762.49999999,8784.56999999
1526127717872,8762.49999999,8784.66
1526127721808,8762.49999999,8784.56999999
1526127725830,8762.49999999,8784.56999999
1526127729504,8762.49999999,8784.56999999
1526127732631,8762.49999999,8784.56999998
1526127735868,8762.49999999,8784.56999998
1526127739603,8762.49999999,8784.56999998
1526127743997,8762.49999999,8784.56999998
1526127747745,8762.49999999,8784.56999998
1526127751019,8762.49999999,8785.04
1526127754867,8762.49999999,8785.15256097
1526127758931,8762.49999999,8785.15256097
1526127761750,8762.49999999,8785.15256097
1526127766247,8762.49999999,8785.15256097
1526127769136,8762.49999999,8785.1
1526127773043,8762.49999999,8785.1
1526127776872,8762.49999999,8785.1
1526127780967,8762.49999999,8785.1
1526127784117,8762.49999999,8785.1
1526127788183,8762.49999999,8785.1
1526127791942,8762.49999999,8785.1
1526127795206,8762.49999999,8785.1
1526127799501,8785.1,8785.15256097
1526127803562,8785.1,8785.15256097
1526127806525,8785.1,8785.15256097
1526127810587,8785.1,8785.15256097
1526127812527,8785.1,8785.15256097
1526127818732,8785.1,8785.15256097
1526127821770,8785.1,8785.15256097
1526127826086,8785.1,8785.567
1526127830159,8785.1,8785.567
1526127833065,8785.1,8785.567
1526127836817,8785.1,8785.567
1526127840660,8785.1,8785.567
1526127844533,8785.1,8785.567
1526127847736,8785.1,8785.567
1526127851551,8785.1,8785.567
1526127855273,8785.1,8785.567
1526127859673,8785.1,8785.567
1526127862930,8785.1,8785.567
1526127867026,8785.1,8785.567
1526127870347,8785.1,8785.567
1526127874318,8785.1,8785.567
1526127878217,8785.1,8785.567
1526127882104,8785.1,8785.567
1526127882104,8785.1,8785.567
1526127889295,8785.1,8788
1526127892374,8785.1,8788
1526127897019,8785.1,8788
1526127899887,8785.1,8788
1526127902995,8785.1,8788
1526127908089,8762.49999999,8788
1526127909947,8762.49999999,8788
1526127914817,8762.49999999,8788
1526127918948,8762.49999999,8788
1526127922929,8762.49999999,8789
1526127925116,8762.49999999,8789
1526127929178,8762.49999999,8789
1526127933751,8762.49999999,8789
1526127937422,8762.49999999,8789
1526127939974,8762.5001,8789
1526127944773,8762.5001,8788.9999
1526127948237,8762.5001,8788.9999
1526127951964,8762.5001,8788.9999
1526127955722,8762.5001,8788.9999
1526127959362,8751.000001,8788.9999
1526127962799,8751.100001,8788.999898
1526127967347,8751.14375657,8788.999896
1526127970354,8751.14375657,8788.999895
1526127974623,8751.14375663,8788.999893
1526127978459,8751.14375678,8788.999891
1526127981835,8751.14375688,8788.99989
1526127986150,8751.14375704,8788.999888
1526127989103,8751.14375714,8789
1526127993586,8751.14375727,8788.999884
1526127997859,8751.14375745,8788.999882
1526128002441,8751.14375762,8788.99988
1526128005374,8751.14375762,8788.999879
1526128009427,8751.14375728,8788.999877
1526128013325,8751.14375819,8788.98
1526128016677,8751.14375819,8788.98
1526128020253,8751.14375834,8788.98
1526128024379,8751.14375859,8788.98
1526128027457,8751.14375859,8788.98
1526128031694,8751.14375804,8788.98
1526128034966,8751.14375903,8788.98
1526128038887,8751.14375913,8788.98
1526128042338,8751.14375929,8788.98
1526128046347,8751.243761,8788.99986
1526128050357,8751.243762,8789
1526128053726,8751.343761,8788.999857
1526128057583,8751.38751972,8788.999855
1526128061431,8751.4875199,8789
1526128065157,8751.5875199,8788.999852
1526128069305,8751.587519,8788.99985
1526128072451,8751.68752,8789
1526128076228,8751.38752062,8788.999847
1526128079533,8751.78752,8788.999845
1526128083741,8751.78752,8788.999843
1526128087525,8751.787522,8788.999842
1526128090973,8751.787521,8788.99984
1526128095102,8751.987522,8788.999838
1526128098841,8751.887523,8789
1526128102129,8752.087523,8788.999835
1526128105878,8752.087523,8788.999833
1526128109244,8752.13128544,8788.999832
1526128109244,8752.13128544,8788.999832
1526128117051,8752.13128578,8788.999828
1526128120346,8752.23128578,8788.999827
1526128124461,8752.23128484,8788.999825
1526128127218,8752.23128591,8788.999824
1526128131225,8752.087524,8788.999822
1526128135892,8751.987524,8788.99982
1526128138736,8752.087524,8788.999818
1526128143091,8752.087524,8789
1526128146900,8752.087524,8788.999815
1526128150120,8752.49881547,8788.999813
1526128153720,8752.49881647,8789
1526128157968,8752.087524,8788.99981
1526128160929,8752.087524,8788.999808
1526128165411,8752.087524,8788.999806
1526128165411,8752.087524,8788.999806
1526128172645,8752.087523,8788.989998
1526128176524,8752.087524,8788.989996
1526128179646,8752.087524,8788.989995
1526128183621,8752.087523,8788.989993
1526128187058,8752.087524,8788.99
1526128191480,8752.087524,8788.9
1526128194559,8751.00000001,8788.899999
1526128198290,8751.00000101,8788.889999
1526128201863,8751.00000101,8788.879999
1526128205985,8751.00000101,8788.879999
1526128208946,8751.00000001,8788.879998
1526128212992,8751.00000001,8787.989999
1526128216334,8751.00000101,8787.99
1526128220753,8751.00000101,8787.99
1526128223908,8751.00000001,8784.99
1526128228415,8751.00000001,8784.79
1526128231515,8751.00000001,8784.99
1526128235734,8751.00000001,8784.99
1526128238604,8751.00000001,8784.99
1526128243264,8751.00000001,8786.81
1526128246470,8751.00000001,8786.81
1526128250674,8751.00000001,8786.81
