time,bid,ask
1526127509963,8598,8598.01
1526127513971,8598,8598.01
1526127517663,8592,8592.01
1526127521420,8592,8592.01
1526127525253,8592,8592.01
1526127529598,8592,8592.01
1526127533334,8592,8592.01
1526127536606,8592,8592.01
1526127540614,8592,8592.01
1526127544363,8592,8592.01
1526127547367,8592,8592.01
1526127551441,8592,8592.01
1526127554658,8592,8592.01
1526127557904,8592,8592.01
1526127562529,8592,8592.01
1526127566617,8592,8592.01
1526127569800,8592,8592.01
1526127573116,8592,8592.01
1526127574978,8592,8592.01
1526127579925,8592,8592.01
1526127585018,8592,8592.01
1526127588081,8592,8592.01
1526127592227,8592,8592.01
1526127595440,8592,8592.01
1526127599632,8592,8592.01
1526127603123,8592,8592.01
1526127606681,8592,8592.01
1526127610647,8592,8592.01
1526127614044,8590,8590.01
1526127616907,8590,8590.01
1526127621836,8590,8590.01
1526127625378,8590,8590.01
1526127629165,8590,8590.01
1526127632749,8590,8590.01
1526127635717,8590,8590.01
1526127639797,8590,8590.01
1526127643432,8590,8590.01
1526127647584,8590,8590.01
1526127651701,8586.74,8586.75
1526127655024,8586.74,8586.75
1526127658186,8586.74,8586.75
1526127662494,8586.74,8586.75
1526127665604,8586.74,8586.75
1526127669972,8586.74,8586.75
1526127673024,8586.74,8586.75
1526127677268,8586.74,8586.75
1526127681420,8586.74,8586.75
1526127683417,8586.74,8586.75
1526127687985,8586.74,8586.75
1526127692331,8586.74,8586.75
1526127695481,8586.74,8586.75
1526127699796,8586.74,8586.75
1526127703048,8586.74,8586.75
1526127707323,8586.74,8586.75
1526127710593,8586.74,8586.75
1526127712618,8586.74,8586.75
1526127717872,8586.74,8586.75
1526127721808,8586.74,8586.75
1526127725830,8586.74,8586.75
1526127729504,8586.74,8586.75
1526127732631,8586.74,8586.75
1526127735868,8586.74,8586.75
1526127739603,8586.74,8586.75
1526127743997,8586.74,8586.75
1526127747745,8586.74,8586.75
1526127751019,8586.74,8586.75
1526127754867,8586.74,8586.75
1526127758931,8586.74,8586.75
1526127761750,8586.74,8586.75
1526127766247,8586.74,8586.75
1526127769136,8586.74,8586.75
1526127773043,8586.74,8586.75
1526127776872,8586.74,8586.75
1526127780967,8586.74,8586.75
1526127784117,8586.74,8586.75
1526127788183,8586.74,8586.75
1526127791942,8586.74,8586.75
1526127795206,8586.74,8586.75
1526127799501,8586.74,8586.75
1526127803562,8586.74,8586.75
1526127806525,8586.74,8586.75
1526127810587,8586.74,8586.75
1526127812527,8586.74,8586.75
1526127818732,8586.74,8586.75
1526127821770,8586.74,8586.75
1526127826086,8586.74,8586.75
1526127830159,8586.74,8586.75
1526127833065,8586.74,8586.75
1526127836817,8586.74,8586.75
1526127840660,8586.74,8586.75
1526127844533,8586.74,8586.75
1526127847736,8586.74,8586.75
1526127851551,8586.74,8586.75
1526127855273,8586.74,8586.75
1526127859673,8586.74,8586.75
1526127862930,8586.74,8586.75
1526127867026,8586.74,8586.75
1526127870347,8586.74,8586.75
1526127874318,8586.74,8586.75
1526127878217,8586.74,8586.75
1526127882104,8586.74,8586.75
1526127882104,8586.74,8586.75
1526127889295,8586.74,8586.75
1526127892374,8586.74,8586.75
1526127897019,8586.74,8586.75
1526127899887,8586.74,8586.75
1526127902995,8586.74,8586.75
