time,bid,ask
1526127509963,8583.20000,8592.80000
1526127513971,8585.10000,8592.00000
1526127517663,8585.40000,8592.90000
1526127521420,8585.40000,8585.50000
1526127525253,8583.00000,8585.50000
1526127529598,8583.10000,8585.50000
1526127533334,8582.00000,8583.20000
1526127536606,8582.00000,8583.20000
1526127540614,8582.00000,8583.20000
1526127544363,8582.00000,8583.20000
1526127547367,8582.00000,8582.20000
1526127551441,8582.00000,8582.20000
1526127554658,8582.00000,8582.10000
1526127557904,8582.00000,8582.20000
1526127562529,8582.00000,8582.10000
1526127566617,8582.00000,8583.20000
1526127569800,8582.00000,8583.20000
1526127573116,8582.00000,8583.00000
1526127574978,8582.00000,8583.00000
1526127579925,8582.00000,8583.00000
1526127585018,8582.00000,8582.90000
1526127588081,8582.00000,8582.90000
1526127592227,8583.20000,8585.40000
1526127595440,8583.20000,8585.40000
1526127599632,8583.20000,8585.50000
1526127603123,8575.00000,8582.00000
1526127606681,8575.00000,8582.00000
1526127610647,8575.10000,8582.00000
1526127614044,8575.40000,8582.00000
1526127616907,8575.00000,8576.90000
1526127621836,8575.70000,8576.90000
1526127625378,8575.00000,8576.90000
1526127629165,8575.00000,8576.90000
1526127632749,8575.00000,8576.90000
1526127635717,8575.00000,8575.10000
1526127639797,8575.00000,8575.10000
1526127643432,8575.00000,8575.10000
1526127647584,8575.00000,8576.90000
1526127651701,8575.00000,8576.90000
1526127655024,8574.90000,8575.00000
1526127658186,8567.10000,8569.20000
1526127662494,8562.30000,8567.20000
1526127665604,8561.30000,8563.40000
1526127669972,8560.40000,8562.40000
1526127673024,8560.40000,8562.40000
1526127677268,8559.30000,8563.40000
1526127681420,8559.40000,8566.60000
1526127683417,8559.40000,8566.60000
1526127687985,8562.50000,8569.20000
1526127692331,8561.00000,8569.20000
1526127695481,8564.00000,8567.20000
1526127699796,8564.90000,8567.20000
1526127703048,8561.20000,8569.20000
1526127707323,8566.20000,8569.20000
1526127710593,8566.20000,8569.20000
1526127712618,8566.20000,8569.00000
1526127717872,8566.20000,8569.00000
1526127721808,8566.20000,8569.00000
1526127725830,8567.60000,8572.90000
1526127729504,8567.50000,8569.10000
1526127732631,8569.80000,8574.90000
1526127735868,8569.80000,8575.00000
1526127739603,8569.80000,8575.00000
1526127743997,8570.00000,8575.00000
1526127747745,8572.60000,8573.40000
