time,bid,ask
1525783064648,9091.9,9092
1525783137933,9096.9,9097
1525783141642,9096.9,9097
1525783145273,9096.9,9097
1525783148407,9096.9,9097
1525783153530,9096.9,9097
1525783157070,9096.9,9097
1525783161570,9096.9,9097
1525783164144,9096.9,9097
1525783171443,9096.9,9097
1525783177341,9098.8,9098.9
1525783181423,9100.8,9100.9
1525783184014,9100.8,9100.9
1525783188862,9108,9108.1
1525783193907,9109.6,9110.7
1525783262182,9115.6,9115.7
1525783267870,9115.6,9115.7
1525783269458,9115.6,9115.7
1525783276270,9115.6,9115.7
1525783279846,9115.6,9115.7
1525783285146,9115.6,9115.7
1525783288122,9115.6,9115.7
1525783288122,9115.6,9115.7
1525783295921,9115.6,9115.7
1525783300385,9115.6,9115.7
1525783304330,9115.6,9115.7
1525783307079,9115.6,9115.7
1525783307079,9115.6,9115.7
1525783314230,9115.6,9115.7
1525783318372,9115.6,9115.7
1525783386383,9111.8,9113.9
1525783391022,9111.8,9111.9
1525783393953,9111.8,9111.9
1525783397665,9111.8,9111.9
1525783402792,9111.8,9111.9
1525783406262,9111.8,9111.9
1525783410626,9111.8,9111.9
1525783413803,9111.8,9111.9
1525783417671,9111.8,9111.9
1525783421599,9112.3,9112.4
1525783424378,9112.3,9112.4
1525783428675,9112.3,9112.4
1525783432089,9112.3,9112.4
1525783501179,9112,9112.1
1525783505287,9112,9112.5
1525783509725,9113,9113.1
1525783513419,9112.1,9113.1
1525783515506,9112.1,9113
1525783519811,9112.1,9113.1
1525783523276,9112.1,9113.1
1525783528005,9112.1,9112.9
1525783528005,9112.1,9112.9
1525783534960,9112.2,9112.7
1525783538838,9112,9112.4
1525783542742,9112,9112.1
1525783545158,9111.9,9112
1525783549461,9111.9,9112
1525783617265,9113,9113.1
1525783620422,9113,9113.1
1525783625194,9113.1,9113.2
1525783627838,9113.1,9113.2
1525783632279,9114.9,9115
1525783636808,9117.1,9117.2
1525783640680,9117.1,9117.2
1525783644154,9118.7,9118.8
1525783647451,9118.7,9118.8
1525783652511,9118.7,9118.8
1525783655042,9118.7,9118.8
1525783659699,9118.7,9118.8
1525783663167,9118.7,9118.8
1525783731429,9125.5,9125.6
1525783735430,9125.5,9125.6
1525783738231,9125.5,9125.6
1525783743961,9130.4,9131.1
1525783746708,9134.7,9134.8
1525783750830,9134.7,9134.8
1525783754185,9134.7,9135.4
1525783758541,9135.2,9135.3
1525783761616,9135.2,9135.3
1525783765491,9135.2,9135.3
1525783769048,9135.4,9135.5
1525783773485,9137.4,9137.5
1525783777351,9137.7,9138.6
1525783847888,9144.9,9145
1525783851464,9144.9,9145
1525783855718,9144.9,9145
1525783859778,9144.9,9145
1525783861064,9144.9,9145
1525783866360,9144.9,9145
1525783870650,9146.3,9146.7
1525783873389,9146.3,9146.7
1525783878045,9146.5,9146.6
1525783882728,9147,9148.4
1525783886956,9147.4,9147.6
1525783890009,9147.5,9147.6
1525783893814,9147.5,9147.6
1525783896603,9147.5,9147.6
1525783899370,9147.5,9147.6
1525783903281,9147.5,9147.6
1525783972318,9128.8,9128.9
1525783976446,9128.8,9128.9
1525783979336,9128.8,9128.9
1525783982364,9128.8,9128.9
1525783986498,9128.8,9128.9
1525783990755,9128.8,9128.9
1525783995565,9128.8,9128.9
1525783998937,9128.8,9128.9
1525784003401,9128.8,9128.9
1525784006192,9128.8,9128.9
1525784010160,9128.8,9128.9
1525784012962,9128.8,9128.9
1525784017959,9128.8,9128.9
1525784021467,9128.8,9128.9
1525784025864,9128.8,9128.9
1525784093406,9128.8,9128.9
1525784098810,9128.8,9128.9
1525784100379,9128.8,9128.9
1525784105315,9130,9130.1
1525784109109,9131.6,9131.7
1525784113296,9138.2,9138.3
1525784117472,9138.6,9138.7
1525784120843,9138.6,9138.7
1525784124456,9138.6,9138.7
1525784128114,9138.6,9144
