time,bid,ask
1525783064648,9084.99,9085.00
1525783071178,9079.16,9086.00
1525783074993,9079.17,9086.00
1525783079926,9077.78,9085.00
1525783084096,9077.78,9085.00
1525783087694,9077.76,9086.00
1525783091343,9077.76,9086.00
1525783095517,9077.76,9086.00
1525783098300,9077.76,9086.00
1525783102322,9077.36,9085.74
1525783106160,9085.15,9086.00
1525783109250,9085.15,9086.00
1525783109250,9085.15,9086.00
1525783119055,9085.15,9086.00
1525783123102,9085.16,9086.00
1525783125973,9087.29,9090.00
1525783130446,9087.29,9090.00
1525783134687,9087.30,9090.00
1525783137933,9087.30,9090.00
1525783141642,9087.30,9090.00
1525783145273,9087.29,9089.99
1525783148407,9087.29,9089.99
1525783153530,9089.28,9090.00
1525783157070,9089.29,9089.99
1525783161570,9089.29,9089.99
1525783164144,9089.29,9089.99
1525783171443,9092.18,9095.99
1525783177341,9092.19,9095.99
1525783181423,9092.19,9098.00
1525783184014,9092.19,9098.00
1525783188862,9094.39,9098.00
1525783193907,9094.40,9098.00
1525783196631,9094.40,9098.00
1525783200009,9095.81,9098.00
1525783200009,9095.81,9098.00
1525783209401,9095.82,9098.00
1525783213331,9095.82,9098.00
1525783216927,9095.82,9098.00
1525783220985,9095.82,9098.00
1525783224994,9098.01,9105.20
1525783229229,9098.01,9105.20
1525783232766,9102.60,9105.20
1525783237244,9102.60,9105.20
1525783242035,9102.60,9105.20
1525783245654,9102.60,9109.99
1525783250028,9105.78,9110.60
1525783254476,9105.79,9108.14
1525783262182,9101.58,9111.32
1525783267870,9108.13,9112.92
1525783269458,9108.13,9112.92
1525783276270,9108.13,9114.84
1525783279846,9108.13,9114.84
1525783285146,9108.13,9114.84
1525783288122,9092.74,9111.59
1525783288122,9092.74,9111.59
1525783295921,9093.38,9102.36
1525783300385,9093.35,9107.59
1525783304330,9093.35,9107.59
1525783307079,9093.36,9107.59
1525783307079,9093.36,9107.59
1525783314230,9096.26,9107.59
1525783318372,9093.38,9105.71
1525783322631,9093.38,9105.59
1525783326592,9093.38,9105.59
1525783329783,9093.38,9105.59
1525783334953,9093.69,9105.56
1525783339702,9090.24,9105.57
1525783342618,9091.89,9104.68
1525783345478,9093.69,9105.56
1525783351238,9101.21,9105.57
1525783354425,9101.21,9105.57
1525783357560,9101.21,9105.57
1525783362304,9101.30,9105.57
1525783365190,9101.30,9105.57
