time,bid,ask
1525783064648,9168.4,9170.0
1525783071178,9168.3,9170.0
1525783074993,9168.3,9170.0
1525783079926,9168.1,9170.0
1525783084096,9168.1,9170.0
1525783087694,9168.1,9169.0
1525783091343,9168.1,9169.0
1525783095517,9168.1,9169.0
1525783098300,9168.1,9169.0
1525783102322,9168.1,9169.0
1525783106160,9168.1,9170.0
1525783109250,9163.1,9170.0
1525783109250,9163.1,9170.0
1525783119055,9163.1,9170.0
1525783123102,9163.1,9170.0
1525783125973,9163.1,9170.0
1525783130446,9163.1,9170.0
1525783134687,9163.1,9170.0
1525783137933,9162.1,9170.0
1525783141642,9162.1,9170.0
1525783145273,9162.1,9170.0
1525783148407,9162.1,9170.0
1525783153530,9162.1,9170.0
1525783157070,9162.1,9170.0
1525783161570,9163.0,9170.0
1525783164144,9163.6,9170.0
1525783171443,9164.5,9170.0
1525783177341,9165.7,9170.0
1525783181423,9166.0,9170.0
1525783184014,9170.5,9188.7
1525783188862,9173.3,9188.7
1525783193907,9175.7,9188.7
1525783196631,9175.8,9189.8
1525783200009,9175.8,9190.0
1525783200009,9175.8,9190.0
1525783209401,9176.0,9190.0
1525783213331,9176.0,9190.0
1525783216927,9176.9,9190.0
1525783220985,9176.9,9190.0
1525783224994,9176.9,9190.0
1525783229229,9176.9,9190.0
1525783232766,9177.5,9190.0
1525783237244,9177.5,9190.0
1525783242035,9177.5,9190.0
1525783245654,9177.5,9190.0
1525783250028,9177.5,9190.0
1525783254476,9177.5,9190.0
1525783262182,9181.6,9191.5
1525783267870,9182.9,9191.5
1525783269458,9182.9,9191.5
1525783276270,9182.9,9191.5
1525783279846,9182.9,9191.5
1525783285146,9182.9,9191.5
1525783288122,9182.9,9191.5
1525783288122,9182.9,9191.5
1525783295921,9182.9,9191.5
1525783300385,9182.9,9191.5
1525783304330,9182.9,9191.5
1525783307079,9182.9,9191.5
1525783307079,9182.9,9191.5
1525783314230,9182.9,9191.5
1525783318372,9182.9,9191.5
1525783322631,9182.9,9191.5
1525783326592,9182.9,9191.5
