time,bid,ask
1525783064648,9080.91,9080.92
1525783071178,9080.91,9080.92
1525783074993,9080.91,9080.92
1525783079926,9080.91,9080.92
1525783084096,9080.91,9080.92
1525783087694,9080.91,9080.92
1525783091343,9080.91,9080.92
1525783095517,9080.91,9080.92
1525783098300,9080.91,9080.92
1525783102322,9080.91,9080.92
1525783106160,9080.91,9080.92
1525783109250,9080.91,9080.92
1525783109250,9080.91,9080.92
1525783119055,9080.91,9080.92
1525783123102,9080.91,9080.92
1525783125973,9080.91,9080.92
1525783130446,9080.91,9080.92
1525783134687,9080.91,9080.92
1525783137933,9080.91,9080.92
1525783141642,9080.91,9080.92
1525783145273,9080.91,9080.92
1525783148407,9083.63,9083.64
1525783153530,9083.63,9083.64
1525783157070,9086.36,9086.37
1525783161570,9090.33,9090.34
1525783164144,9090.33,9090.34
1525783171443,9090.33,9090.34
1525783177341,9090.33,9090.34
1525783181423,9090.33,9090.34
1525783184014,9090.33,9090.34
1525783188862,9090.33,9090.34
1525783193907,9090.47,9090.48
1525783196631,9090.47,9090.48
1525783200009,9092.29,9092.3
1525783200009,9092.29,9092.3
1525783209401,9092.29,9092.3
1525783213331,9096.56,9096.57
1525783216927,9096.56,9096.57
1525783220985,9096.56,9096.57
1525783224994,9096.56,9096.57
1525783229229,9097.74,9097.75
1525783232766,9097.74,9097.75
1525783237244,9097.74,9097.75
1525783242035,9097.74,9097.75
1525783245654,9097.74,9097.75
1525783250028,9099.99,9100
1525783254476,9099.99,9100
1525783262182,9099.99,9100
1525783267870,9099.99,9100
1525783269458,9099.99,9100
1525783276270,9099.99,9100
1525783279846,9099.99,9100
1525783285146,9099.99,9100
1525783288122,9099.99,9100
1525783288122,9099.99,9100
1525783295921,9099.99,9100
1525783300385,9099.99,9100
1525783304330,9099.99,9100
1525783307079,9099.99,9100
1525783307079,9099.99,9100
1525783314230,9099.99,9100
1525783318372,9099.99,9100
1525783322631,9099.99,9100
1525783326592,9099.99,9100
1525783329783,9099.99,9100
1525783334953,9099.99,9100
1525783339702,9099.99,9100
1525783342618,9099.99,9100
1525783345478,9099.99,9100
1525783351238,9099.99,9100
1525783354425,9099.99,9100
