time,bid,ask
1525783064648,9093.00000,9099.10000
1525783071178,9094.40000,9098.20000
1525783074993,9094.40000,9095.10000
1525783079926,9094.90000,9096.80000
1525783084096,9095.00000,9096.70000
1525783087694,9095.00000,9096.70000
1525783091343,9095.00000,9096.40000
1525783095517,9090.10000,9094.40000
1525783098300,9090.10000,9094.40000
1525783102322,9099.30000,9102.00000
1525783106160,9099.30000,9101.90000
1525783109250,9099.40000,9101.90000
1525783109250,9099.40000,9101.90000
1525783119055,9099.40000,9101.50000
1525783123102,9101.20000,9102.60000
1525783125973,9101.20000,9102.60000
1525783130446,9101.20000,9105.90000
1525783134687,9099.40000,9105.00000
1525783137933,9099.40000,9105.00000
1525783141642,9101.10000,9104.60000
1525783145273,9104.50000,9104.60000
1525783148407,9104.50000,9104.60000
1525783153530,9104.50000,9104.60000
1525783157070,9104.50000,9104.60000
1525783161570,9104.80000,9105.00000
1525783164144,9104.80000,9105.00000
1525783171443,9104.80000,9104.90000
1525783177341,9104.80000,9106.60000
1525783181423,9104.90000,9105.00000
1525783184014,9104.90000,9105.00000
1525783188862,9105.10000,9106.90000
1525783193907,9106.80000,9106.90000
1525783196631,9106.80000,9106.90000
1525783200009,9106.80000,9106.90000
1525783200009,9106.80000,9106.90000
1525783209401,9106.90000,9113.60000
1525783213331,9108.90000,9113.60000
1525783216927,9109.00000,9117.00000
1525783220985,9109.00000,9117.00000
1525783224994,9112.70000,9117.00000
1525783229229,9112.70000,9117.00000
1525783232766,9112.70000,9117.00000
1525783237244,9112.70000,9117.00000
1525783242035,9112.80000,9117.00000
1525783245654,9112.80000,9120.00000
1525783250028,9112.80000,9118.00000
1525783254476,9116.30000,9118.00000
1525783262182,9116.30000,9119.90000
1525783267870,9116.30000,9119.90000
1525783269458,9116.30000,9120.00000
1525783276270,9116.40000,9120.00000
1525783279846,9116.40000,9121.90000
1525783285146,9116.40000,9127.90000
1525783288122,9116.30000,9124.00000
1525783288122,9116.30000,9124.00000
1525783295921,9116.60000,9123.70000
1525783300385,9116.40000,9121.10000
1525783304330,9116.40000,9121.00000
1525783307079,9116.30000,9121.00000
1525783307079,9116.30000,9121.00000
1525783314230,9119.10000,9119.20000
1525783318372,9119.10000,9119.20000
1525783322631,9119.10000,9119.20000
1525783326592,9112.50000,9119.20000
1525783329783,9119.00000,9119.20000
1525783334953,9119.00000,9119.20000
1525783339702,9119.00000,9119.20000
1525783342618,9119.00000,9119.20000
1525783345478,9119.00000,9119.20000
1525783351238,9119.00000,9119.20000
1525783354425,9119.00000,9120.70000
1525783357560,9119.00000,9127.60000
1525783362304,9119.00000,9124.00000
1525783365190,9119.00000,9122.00000
1525783369038,9119.00000,9121.90000
1525783372239,9119.00000,9121.90000
1525783372239,9119.00000,9121.90000
1525783379736,9118.20000,9121.20000
1525783382820,9118.20000,9121.20000
1525783386383,9120.00000,9121.00000
1525783391022,9120.00000,9121.10000
